headline,source,publish_date,year,url,source_split
Here are 20 major media stories CNN's Brian Stelter ignored on his so-called media show in 2021,FoxNews,2021-12-27,2021,https://www.foxnews.com/media/cnn-brian-stelter-reliable-sources-2021.print,starter
German bureaucrat under fire for trashing British WWII hero who inspired Israeli army,FoxNews,2022-08-20,2022,https://www.foxnews.com/world/german-bureaucrat-under-fire-trashing-british-wwii-hero-inspired-israeli-army,starter
"Brian Stelter defends media not covering Hunter Biden in 2020, says critics don't know 'how newsrooms work'",FoxNews,2022-04-07,2022,https://www.foxnews.com/media/cnn-brian-stelter-hunter-biden-disinformation-conference,starter
Biden called out on border crisis by Texas Democrat: 'Absolutely the president should be here',FoxNews,2022-12-21,2022,https://www.foxnews.com/media/biden-called-out-border-crisis-texas-democrat-absolutely-president-should-be-here,starter
"CNN's Brian Stelter gushed over Cuomo's COVID 'leadership': 'He's providing hope, but not false hope'",FoxNews,2021-03-05,2021,https://www.foxnews.com/media/cnn-brian-stelter-andrew-cuomo-leadership-hope-not-false-hope.print,starter
Esper replacement Chris Miller tells US troops: 'It's time to come home',FoxNews,2020-11-14,2020,https://www.foxnews.com/politics/esper-replacement-chris-miller-tells-us-troops-its-time-to-come-home,starter
"On Armed Forces Day, Honor Flight Network receives stunning donation from Mission BBQ",FoxNews,2022-05-21,2022,https://www.foxnews.com/lifestyle/armed-forces-day-honor-flight-mission-bbq,starter
Thanksgiving casserole preferences vary state-by-state,FoxNews,2021-11-24,2021,https://www.foxnews.com/lifestyle/thanksgiving-casserole-preferences-state-google-trends,starter
Shawn Mendes and Camila Cabello break up: We 'will continue to be best friends',FoxNews,2021-11-17,2021,https://www.foxnews.com/entertainment/shawn-mendes-camila-cabello-split-break-up-relationship,starter
Ted Nugent slams wannabe 'tyrants' on 'Tucker Carlson Today': We don't need the 'king's permission' in America,FoxNews,2021-08-04,2021,https://www.foxnews.com/media/ted-nugent-tucker-carlson-fox-nation-constitution-bear-arms.print,starter
"Book shows alleged Biden-Harris divide surfaced earlier than previous president-VP rifts, some critics say",FoxNews,2022-12-21,2022,https://www.foxnews.com/media/new-book-shows-alleged-biden-harris-divide-surfaced-earlier-previous-president-vp-rifts-critics.print,starter
White House calls communism a 'failed ideology' after historic Cuba protests,FoxNews,2021-07-15,2021,https://www.foxnews.com/politics/white-house-communism-failed-ideology-historic-cuba-protests,starter
"Arizona grandma, man she mistakenly texted, to share Thanksgiving for 7th straight year since 2016",FoxNews,2022-11-24,2022,https://www.foxnews.com/lifestyle/arizona-grandma-man-she-mistakenly-texted-share-thanksgiving-7th-straight-year-since-2016,starter
"Black farmers sue Biden administration over broken debt relief promise, say president reneged on meeting",FoxNews,2022-10-17,2022,https://www.foxnews.com/media/black-farmers-sue-biden-administration-broken-debt-relief-promise-president-reneged-meeting,starter
Charlie Sheen's ex Denise Richards vows to ‘support’ their daughter Sami after actor disapproves OnlyFans page,FoxNews,2022-06-15,2022,https://www.foxnews.com/entertainment/charlie-sheen-denise-richards-support-sami-sheen-onlyfans,starter
"CNN boss, political director spiked Hunter Biden controversy, audiotapes reveal: 'We're not going with' story",FoxNews,2020-12-03,2020,https://www.foxnews.com/media/cnn-jeff-zucker-david-chalian-hunter-biden-project-veritas,starter
"Pink slammed for wearing Biden-Harris shirt, husband Carey Hart comes to her defense: 'Bye Karen'",FoxNews,2020-09-22,2020,https://www.foxnews.com/entertainment/pink-slammed-biden-harris-shirt-husband-carey-hart-defends,starter
Discovery of Civil War map sheds new light on Antietam’s bloody aftermath,FoxNews,2020-06-19,2020,https://www.foxnews.com/science/discovery-civil-war-map-antietam,starter
Paul Batura: Dick Hoyt's death – famed Boston Marathon runner and father lovingly pushed his son to greatness,FoxNews,2021-03-18,2021,https://www.foxnews.com/opinion/dick-hoyt-death-boston-marathon-runner-father-son-paul-batura,starter
Flashback: Kamala Harris compared ICE to KKK in Senate hearing,FoxNews,2020-08-11,2020,https://www.foxnews.com/politics/kamala-harris-ice-kkk-senate-hearing,starter
Supreme Court overturns Roe v. Wade in landmark abortion decision,FoxNews,2022-06-24,2022,https://www.foxnews.com/politics/supreme-court-overturns-roe-v-wade-dobbs-v-jackson-womens-health-organization,starter
"Lori Loughlin, Mossimo Giannulli officially plead guilty in college admissions scandal case",FoxNews,2020-05-22,2020,https://www.foxnews.com/entertainment/lori-loughlin-mossimo-giannulli-officially-plead-guilty-in-college-admissions-scandal-case,starter
"France is sending a new Statue of Liberty to the US for July 4, but this time it's mini",FoxNews,2021-06-09,2021,https://www.foxnews.com/travel/france-2nd-mini-statue-liberty-nyc-july-washington-dc.print,starter
Olivia Rodrigo reunites with rumored ex Joshua Bassett for first time since breakup hit 'Drivers License',FoxNews,2022-07-28,2022,https://www.foxnews.com/entertainment/olivia-rodrigo-reunites-ex-joshua-bassett-drivers-license-inspiration.print,starter
"Simon Cowell, Lauren Silverman engaged nearly 8 years after welcoming son",FoxNews,2022-01-12,2022,https://www.foxnews.com/entertainment/simon-cowell-lauren-silverman-engaged,starter
JD Vance on his 'change of heart' for Trump: Politicians shouldn't 'try to hide' from their past stances,FoxNews,2022-08-12,2022,https://www.foxnews.com/media/jd-vance-change-heart-trump-politicians-shouldnt-try-hide-past-stances,starter
Pennsylvania Republicans to draft bill to relocate migrants on Biden DHS flights to Delaware,FoxNews,2022-01-13,2022,https://www.foxnews.com/politics/pennsylvania-republicans-to-draft-bill-diverting-illegal-immigrants-from-secretive-biden-dhs-flights-to-delawa,starter
Biden admin convenes legal experts on protecting women's reproductive health after Supreme Court ruling,FoxNews,2022-08-01,2022,https://www.foxnews.com/politics/biden-admin-convenes-legal-experts-protecting-womens-reproductive-health-supreme-court-ruling.print,starter
"Johnson grills DHS on migrant releases, as GOP pressure builds on border crisis",FoxNews,2022-02-02,2022,https://www.foxnews.com/politics/johnson-dhs-migrant-releases-gop-border-crisis,starter
"Archbishop of Canterbury condemns gay marriage, but Anglican bishops remain divided",FoxNews,2022-08-07,2022,https://www.foxnews.com/faith-values/archbishop-canterbury-condemns-gay-marriage-anglican-bishops-remain-divided,starter
CNN's Brian Stelter forced to address Cuomo sex scandal after network delayed coverage of first accuser,FoxNews,2021-02-28,2021,https://www.foxnews.com/media/cnn-brian-stelter-andrew-cuomo-sexual-harassment-scandal,starter
Biden to host virtual meeting with governors to 'protect women's reproductive health' after abortion ruling,FoxNews,2022-06-30,2022,https://www.foxnews.com/politics/biden-host-virtual-meeting-governors-protect-womens-reproductive-health-abortion-ruling,starter
New York MS-13's 'Little Devil' convicted in ambush murder of 4 young men,FoxNews,2022-04-11,2022,https://www.foxnews.com/us/new-york-ms-13-little-devil-convicted,starter
Tyra Banks defends Olivia Jade being on 'Dancing with the Stars' Season 30,FoxNews,2021-09-16,2021,https://www.foxnews.com/entertainment/tyra-banks-defends-olivia-jade-dancing-with-the-stars,starter
Transgender high school volleyball player appears to feature spike that injured opponent in highlight reel,FoxNews,2022-10-26,2022,https://www.foxnews.com/sports/transgender-high-school-volleyball-player-appears-feature-spike-injured-opponent-highlight-reel.print,starter
"On this day in history, Sept. 16, 1620, Mayflower departs Plymouth, England",FoxNews,2022-09-16,2022,https://www.foxnews.com/lifestyle/this-day-history-sept-16-mayflower-departs-plymouth-england,starter
Justice Ketanji Brown Jackson asks tough questions in first Supreme Court oral argument,FoxNews,2022-10-03,2022,https://www.foxnews.com/politics/justice-ketanji-brown-jackson-asks-tough-questions-first-supreme-court-oral-argument,starter
"'Euphoria's' Sydney Sweeney faces heat for mom's party featuring MAGA-like hats, 'Blue Lives Matter' shirt",FoxNews,2022-08-28,2022,https://www.foxnews.com/entertainment/euphorias-sydney-sweeney-faces-heat-moms-party-featuring-maga-like-hats-blue-lives-matter-shirt,starter
"Border crisis overwhelming officials, communities as migrant numbers keep surging",FoxNews,2021-10-12,2021,https://www.foxnews.com/politics/border-crisis-overwhelms-officials-communities-migrant-numbers-surging,starter
"Before there was Veterans Day, there was Armistice Day",FoxNews,2022-11-11,2022,https://www.foxnews.com/lifestyle/veterans-day-numbers-8-facts-federal-holiday,starter
"Russia says Ukrainian intel chief responsible for Crimea bridge attack, increasing assassination risk",FoxNews,2022-10-12,2022,https://www.foxnews.com/world/russia-says-ukrainian-intel-chief-responsible-crimea-bridge-attack-increasing-assassination-risk,starter
Artist reveals painting of our American flag in 'the greatest country in the world',FoxNews,2022-07-09,2022,https://www.foxnews.com/lifestyle/artist-american-flag-greatest-country-world.print,starter
Planning a 2-week vacation getaway? Experts say workers should think again,FoxNews,2022-06-16,2022,https://www.foxnews.com/lifestyle/planning-vacation-experts-workers-think,starter
California banning another popular plastic bag from all grocery stores,FoxNews,2022-10-11,2022,https://www.foxnews.com/us/california-banning-another-popular-plastic-bag-grocery-stores,starter
"Charlie Sheen reacts to daughter Sami Sheen, 18, joining OnlyFans: ‘This did not occur under my roof’",FoxNews,2022-06-14,2022,https://www.foxnews.com/entertainment/charlie-sheen-reacts-daughter-sami-sheen-joining-onlyfans,starter
Nashville hot chicken conquers America: Tennessee tradition has exploded in popularity,FoxNews,2022-09-27,2022,https://www.foxnews.com/lifestyle/nashville-hot-chicken-conquers-america-tennessee-tradition-popularity,starter
"Josh Radnor talks shedding 'How I Met Your Mother' character, creating new music",FoxNews,2021-05-06,2021,https://www.foxnews.com/entertainment/josh-radnor-talks-shedding-how-i-met-your-mother-character-new-music.print,starter
Russia transfers heavy military equipment to Crimea as fighting intensifies in Donetsk,FoxNews,2022-08-27,2022,https://www.foxnews.com/world/russia-transfers-heavy-military-equipment-crimea-fighting-intensifies-donetsk,starter
"'Bloodied' Little Havana demonstrator slams Biden: 'Cubans don't want vaccines, they want freedom'",FoxNews,2021-07-22,2021,https://www.foxnews.com/media/bloodied-pro-cuba-demonstrator-slams-biden-cubans-dont-want-vaccines-they-want-freedom,starter
Doors fans remember Jim Morrison in Paris on 50th anniversary of his death,FoxNews,2021-07-03,2021,https://www.foxnews.com/entertainment/doors-jim-morrison-paris-50th-anniversary-death,starter
50 Cent says ‘vote for Trump’ in light of Biden's tax plan: 'IM OUT',FoxNews,2020-10-19,2020,https://www.foxnews.com/entertainment/50-cent-voting-trump-over-biden-tax-plan,starter
Halloween decorations and costumes that are trendy this year for 'Halloweekend celebrations',FoxNews,2022-10-11,2022,https://www.foxnews.com/lifestyle/halloween-decorations-costumes-trendy-year-halloweekend-celebrations,starter
Back to school: Tips for homeschooling the kids as more parents ditch classrooms,FoxNews,2022-09-07,2022,https://www.foxnews.com/lifestyle/tips-for-homeschool-parents-kids.print,starter
"John Lennon’s final days were blissful as he thrived on music, book says: ‘You can feel this positive emotion'",FoxNews,2020-12-08,2020,https://www.foxnews.com/entertainment/john-lennon-final-days-1980-music-dakota,starter
Hannity shows support for Cuba's fight for freedom: 'they should be living in paradise',FoxNews,2021-07-21,2021,https://www.foxnews.com/media/hannity-shows-support-for-cubas-fight-for-freedom-they-should-be-living-in-paradise,starter
"Democratic candidate Vicente Gonzalez claims Mayra Flores, supporters 'stole' Texas special election",FoxNews,2022-09-10,2022,https://www.foxnews.com/politics/democratic-candidate-vicente-gonzalez-claims-mayra-flores-supporters-stole-texas-special-election,starter
Lemon chicken spaghetti with creamy alfredo sauce: Try the recipe,FoxNews,2021-10-17,2021,https://www.foxnews.com/lifestyle/lemon-chicken-spaghetti-creamy-alfredo-sauce-recipe,starter
Smokey Robinson urges vaccination following harrowing COVID-19 hospitalization,FoxNews,2021-11-25,2021,https://www.foxnews.com/entertainment/smokey-robinson-urges-vaccination-following-harrowing-covid-19-hospitalization,starter
Grand Ole Opry honors US military at Salute the Troops event ahead of Memorial Day,FoxNews,2022-05-26,2022,https://www.foxnews.com/lifestyle/grand-ole-opry-us-military-salute-troops-memorial-day,starter
Becerra: Federal gov 'looking into' helping women cross state lines for abortions,FoxNews,2022-07-03,2022,https://www.foxnews.com/politics/becerra-federal-gov-looking-helping-women-cross-state-lines-abortions,starter
Charges against CNN producer accused of inducing minors for sex reveal lewd details,FoxNews,2021-12-13,2021,https://www.foxnews.com/media/cnn-producer-minors-sex-details,starter
"Reporter on MSNBC says migrants 'not angry at DeSantis,' but are thanking him for Martha's Vineyard flight",FoxNews,2022-09-16,2022,https://www.foxnews.com/media/reporter-msnbc-immigrants-not-angry-desantis-thanking-marthas-vineyard-flight,starter
Jorge Ramos’ daughter sounds alarm that Latinos are 'walking away’ from Democratic Party,FoxNews,2022-09-23,2022,https://www.foxnews.com/media/jorge-ramos-daughter-sounds-alarm-latinos-walking-away-from-democratic-party,starter
Rittenhouse judge bans MSNBC from courtroom after person accused of trailing jury bus,FoxNews,2021-11-18,2021,https://www.foxnews.com/us/rittenhouse-judge-bars-msnbc-from-courtroom-trailing-jury-bus,starter
North Korea unveils daughter of Kim Jong Un at missile launch site,FoxNews,2022-11-19,2022,https://www.foxnews.com/world/north-korea-unveils-daughter-kim-jong-un-missile-launch,starter
Halloween costume contact lenses may be scarier than you think,FoxNews,2021-10-28,2021,https://www.foxnews.com/health/halloween-costume-contact-lenses-scarier-cdc,starter
Meet the American who inspired the nation in two world wars: Christian soldier Sgt. Alvin York,FoxNews,2022-11-11,2022,https://www.foxnews.com/lifestyle/meet-american-who-inspired-nation-two-world-wars-christian-soldier-sgt-alvin-york.print,starter
"A look at Bruce Willis’ upcoming acting role in 'Paradise City,’ his storied Hollywood career",FoxNews,2022-03-30,2022,https://www.foxnews.com/entertainment/bruce-willis-paradise-city-hollywood-career,starter
"Surfing stunner: Woman wakesurfs on lake in high heels, sips coffee, reads while 'on board'",FoxNews,2022-10-17,2022,https://www.foxnews.com/lifestyle/surfing-stunner-woman-wakesurfs-lake-heels-coffee-reads-board.print,starter
CNN saga: How much cash did ousted boss Jeff Zucker get to leave network?,FoxNews,2022-03-10,2022,https://www.foxnews.com/media/cnn-saga-how-much-cash-jeff-zucker-network,starter
Meet the American who made us flip for fast food: White Castle founder Billy Ingram,FoxNews,2022-10-21,2022,https://www.foxnews.com/lifestyle/meet-american-made-flip-fast-food-white-castle-founder-billy-ingram,starter
Healthy living habits include eating dinner earlier — it may also help keep weight down,FoxNews,2022-10-17,2022,https://www.foxnews.com/health/healthy-living-habits-eating-dinner-earlier-may-help-weight.print,starter
Denise Richards 'felt guilty' for splitting up her family after divorce from Charlie Sheen,FoxNews,2022-08-12,2022,https://www.foxnews.com/entertainment/denise-richards-felt-guilty-splitting-up-family-divorce-charlie-sheen,starter
'Witness to Dignity': What I experienced at Barbara Bush's bedside in her final days,FoxNews,2022-11-27,2022,https://www.foxnews.com/opinion/witness-dignity-what-i-experienced-barbara-bushs-bedside-in-her-final-days,starter
Combat veteran and his wife help others fight PTSD — and find healing and hope,FoxNews,2022-05-27,2022,https://www.foxnews.com/lifestyle/combat-veteran-wife-ptsd-strength.print,starter
"Like Celine Dion, Pennsylvania man is fighting Stiff Person Syndrome 'with everything I have’",FoxNews,2022-12-12,2022,https://www.foxnews.com/lifestyle/celine-dion-pennsylvania-man-fighting-stiff-person-syndrome-everything-have,starter
Arnold Schwarzenegger remembers gruesome injury while filming 'Total Recall',FoxNews,2020-06-04,2020,https://www.foxnews.com/entertainment/arnold-schwarzenegger-gruesome-injury-total-recall.print,starter
Bob Woodson: Black History Month – here's how we celebrate resilience and the promise of 1776,FoxNews,2021-02-18,2021,https://www.foxnews.com/opinion/black-history-month-1776-unites-resilience-bob-woodson,starter
LGBT advocate claims in House hearing ‘detransitioning’ is not ‘a real thing’,FoxNews,2022-12-14,2022,https://www.foxnews.com/politics/lgbt-advocate-claims-house-hearing-detransitioning-not-real-thing,starter
Russia fired more than 80 cruise missiles into Ukraine in 'retaliation' of Kerch Bridge explosion: officials,FoxNews,2022-10-16,2022,https://www.foxnews.com/world/russia-fired-80-cruise-missile-ukraine-retaliation-kerch-bridge-explosion-officials,starter
"NYT, MSNBC's Mara Gay: 'Disturbing' to see 'dozens of American flags' on trucks in Long Island",FoxNews,2021-06-08,2021,https://www.foxnews.com/media/msnbc-analyst-disturbing-dozens-american-flags-flown-pickup-trucks-trump-supporters,starter
"Popstar Olivia Rodrigo visits White House, promotes COVID-19 youth vaccination at press briefing",FoxNews,2021-07-14,2021,https://www.foxnews.com/media/popstar-olivia-rodrigo-visits-white-house-promotes-covid-19-youth-vaccination-at-press-briefing.print,starter
'High School Musical' star Joshua Bassett says he is 'sick' over 'absolutely false' sex assault accusation,FoxNews,2020-06-27,2020,https://www.foxnews.com/entertainment/high-school-musical-joshua-bassett-absolutely-false-sex-assault-accusation,starter
"NY teacher, US Coast Guard member who lost an eye won't allow 'freak accident' to define his life",FoxNews,2022-10-26,2022,https://www.foxnews.com/lifestyle/ny-teacher-us-coast-guard-member-lost-eye-wont-allow-freak-accident-define-life,starter
"I was a victim of pre-Title IX discrimination, and I'm fighting to protect girls' sports",FoxNews,2022-10-18,2022,https://www.foxnews.com/opinion/victim-pre-title-ix-discrimination-fighting-protect-girls-sports,starter
"Dolly Parton removes herself from Rock & Roll Hall of Fame nomination, says she hasn't 'earned that right'",FoxNews,2022-03-14,2022,https://www.foxnews.com/entertainment/dolly-parton-removes-herself-rock-roll-hall-of-fame-nomination,starter
"Rubio: 'Russia is already' in Cuba, the Diaz-Canel regime 'lost its legitimacy to govern'",FoxNews,2021-07-19,2021,https://www.foxnews.com/media/rubio-russia-cuba-regime-lost-legitimacy,starter
Bob Woodson: The Civil Rights Movement I was a part of has been betrayed by a twisted progressive ideology,FoxNews,2021-03-19,2021,https://www.foxnews.com/opinion/civil-rights-movement-betrayed-progressive-ideology-bob-woodson.print,starter
Georgia abortion law: A look back at what Hollywood production companies have said about filming in the state,FoxNews,2022-07-29,2022,https://www.foxnews.com/entertainment/production-companies-said-filming-georgia-states-abortion-law.print,starter
"Biden’s inhumane open-border policies devastate Americans, illegal immigrants",FoxNews,2022-09-08,2022,"https://www.foxnews.com/opinion/biden-inhumane-open-border-policies-devastate-americans-illegal-immigrants#&_intcmp=hp1bt1_2,hp1bt",starter
#EmptyShelvesJoe trending on Twitter amid Biden’s supply chain crisis,FoxNews,2021-10-15,2021,https://www.foxnews.com/us/emptyshelvesjoe-trending-on-twitter-amid-bidens-supply-chain-crisis,starter
Inside Lori Loughlin’s prison stint and why she potentially hasn’t spoken with daughter Olivia Jade: expert,FoxNews,2020-12-15,2020,https://www.foxnews.com/entertainment/lori-loughlin-prison-stint-why-hasnt-spoken-daughter-olivia-jade-expert,starter
"Miami mayor blasts far-left silence on Cuban protests, says crisis exposes fallacy of socialism",FoxNews,2021-07-12,2021,https://www.foxnews.com/media/miami-mayor-blasts-far-left-silence-cuban-protests-crisis-exposes-fallacy-socialism.print,starter
Caregiver fatigue in America rising at unprecedented rate: reports,FoxNews,2022-03-17,2022,https://www.foxnews.com/health/caregiver-fatigue-america-unprecedented-rise-report,starter
Olivia Jade breaks silence on parents' involvement in college admissions scandal: 'We messed up',FoxNews,2020-12-08,2020,https://www.foxnews.com/entertainment/olivia-jade-breaks-silence-college-admissions-scandal-red-table-talk,starter
Benedict Arnold reexamined: How one of America's heroes became its most infamous traitor,FoxNews,2022-07-20,2022,https://www.foxnews.com/media/benedict-arnold-reexamined-americas-heroes-infamous-traitor,starter
National Prayer Breakfast 2022: What is it?,FoxNews,2022-02-03,2022,https://www.foxnews.com/faith-values/national-prayer-breakfast-2022-what-is-it,starter
NY Times investigating own reporter after she didn't disclose Michael Phelps book deal: 'Significant lapse',FoxNews,2021-07-16,2021,https://www.foxnews.com/media/ny-times-michael-phelps-book-deal,starter
Olivia Moultrie is proud of her journey to play in NWSL,FoxNews,2022-08-09,2022,https://www.foxnews.com/sports/olivia-moultrie-proud-journey-play-nwsl,starter
Emma Weyant: Second-place finisher in Lia Thomas' NCAA championship race won Olympic medal in 2021,FoxNews,2022-03-18,2022,https://www.foxnews.com/sports/emma-weyant-olympic-medalist-lia-thomas-ncaa-championships,starter
"Parents of two find their 'American Dream Home' in Beaufort, South Carolina: 'So special'",FoxNews,2022-11-19,2022,https://www.foxnews.com/lifestyle/parents-two-american-dream-home-beauford-south-carolina-special,starter
Lori Loughlin released from prison after serving 2 months behind bars for role in college admissions scandal,FoxNews,2020-12-28,2020,https://www.foxnews.com/entertainment/lori-loughlin-released-prison-college-admissions-scandal.print,starter
"Olivia Jade's influencer brand is a 'dumpster fire' and 'dangerous to advertisers,' says expert",FoxNews,2020-06-03,2020,https://www.foxnews.com/entertainment/olivia-jade-influencer-brand-dumpster-fire-expert,starter
Children of missing Korean War airman hold US to leave no man behind,FoxNews,2020-05-29,2020,https://www.foxnews.com/media/missing-korean-war-airman-fox-nation,starter
Collapsed Lafayette Square narrative is yet another 'fact-checked' story gone bad,FoxNews,2021-06-11,2021,https://www.foxnews.com/media/collapsed-lafayette-square-fact-checked-story,starter
Every day is Memorial Day at Dover Air Force Base,FoxNews,2022-05-27,2022,https://www.foxnews.com/us/every-day-memorial-day-dover-air-force-base,starter
CNN's Chris Cuomo accused of sexually harassing female producer while at ABC News,FoxNews,2021-09-24,2021,https://www.foxnews.com/media/cnn-chris-cuomo-accused-sexually-harassing-female-producer-abc-news,starter
"Sharon Stone, 63, 'hanging out' with rapper RMR, 25: report",FoxNews,2021-07-06,2021,https://www.foxnews.com/entertainment/sharon-stone-hanging-out-rapper-rmr-report,starter
CNN’s ‘Reliable Sources’ with Brian Stelter draws smallest audience since 2019,FoxNews,2022-06-14,2022,https://www.foxnews.com/media/cnn-reliable-sources-brian-stelter-smallest-audience-2019,starter
Randi Weingarten angrily claims Pompeo 'hurting kids' with attacks on her,FoxNews,2022-11-23,2022,https://www.foxnews.com/media/randi-weingarten-angrily-claims-pompeo-hurting-kids-attacks,starter
Foo Fighters drummer Taylor Hawkins dead at 50,FoxNews,2022-03-25,2022,https://www.foxnews.com/entertainment/foo-fighters-drummer-taylor-hawkins-dead-at-50,starter
"Barbara Walters, journalistic pioneer, dead at 93",FoxNews,2022-12-30,2022,https://www.foxnews.com/media/barbara-walters-journalistic-pioneer-dead-93,starter
American soldiers killed in WWI remembered forever in NYC ale house,FoxNews,2022-05-29,2022,https://www.foxnews.com/lifestyle/americans-killed-wwi-nyc-ale-house.print,starter
Pennsylvania Republicans seek to levy illegal immigrants' remittances to fund property tax relief,FoxNews,2022-04-08,2022,https://www.foxnews.com/politics/pennsylvania-republicans-illegal-immigrant-remittance-fee-property-tax-relief,starter
Best Tom Hanks movies to watch during self-isolation,FoxNews,2020-03-17,2020,https://www.foxnews.com/entertainment/tom-hanks-movies-watch-self-isolation,starter
100-year-old WWII veteran throws first pitch at Long Island Ducks ballpark,FoxNews,2022-07-18,2022,https://www.foxnews.com/lifestyle/100-wwii-veteran-first-pitch-long-island-ducks-ballpark,starter
"Whoopi Goldberg says 'The View,' Barbara Walters saved her career after 2004 George Bush controversy",FoxNews,2020-09-06,2020,https://www.foxnews.com/entertainment/whoopi-goldberg-view-barbara-walters-saved-career-after-2004-george-bush-controversy,starter
"Ticketmaster apologizes to Taylor Swift, fans over sales disaster",FoxNews,2022-11-19,2022,https://www.foxnews.com/entertainment/ticketmaster-apologizes-taylor-swift-fans-sales-disaster,starter
Harry Styles' full 'X Factor UK' audition video reveals details about the singer's first performance,FoxNews,2022-08-02,2022,https://www.foxnews.com/entertainment/harry-styles-full-x-factor-uk-audition-video-reveals-details-about-singers-first-performance,starter
Flag Day is a patriotic spectacle in these all-American communities,FoxNews,2022-06-14,2022,https://www.foxnews.com/lifestyle/flag-day-spectacle-american-communities,starter
"Donny Deutsch: Democrats losing on economy, so we need to 'scare' voters against ‘racist’ GOP",FoxNews,2022-05-18,2022,https://www.foxnews.com/media/donny-deutsch-dems-losing-on-economy-so-scare-voters-against-racist-gop,starter
CBS tarred and feathered for admitting existence of Hunter Biden’s laptop two years after New York Post report,FoxNews,2022-11-22,2022,https://www.foxnews.com/media/cbs-tarred-feathered-admitting-existence-hunter-bidens-laptop-two-years-after-new-york-post-report,starter
Washington Post columnist panned for calling Kamala Harris a 'small-c conservative',FoxNews,2020-08-12,2020,https://www.foxnews.com/media/washington-post-kamala-harris-small-c-conservative,starter
New CNN boss Chris Licht ‘determined to tamp down spectacle’ as he evaluates who should stick around: insider,FoxNews,2022-06-16,2022,https://www.foxnews.com/media/new-cnn-boss-christ-licht-determined-tamp-down-spectacle-evaluates-who-should-stick-around.print,starter
Vietnam War formally ends: This Day in History,FoxNews,2020-01-27,2020,https://www.foxnews.com/world/vietnam-war-formally-ends-this-day-in-history,starter
Tom Brady reveals he has not talked to Trump in 'a lot of years',FoxNews,2022-07-14,2022,https://www.foxnews.com/sports/tom-brady-has-not-talked-trump-years,starter
"Explosion rocks Kerch Bridge connecting Russia and Crimea, 3 dead: officials",FoxNews,2022-10-08,2022,https://www.foxnews.com/world/kerch-bridge-connecting-crimea-russia-fire-after-possible-fuel-tank-explosion-ukraine-media,starter
Environmentalists are blocking forest management methods saving iconic sequoias amid Yosemite wildfire,FoxNews,2022-07-14,2022,https://www.foxnews.com/politics/environmentalists-blocking-forest-management-methods-saving-sequoias-yosemite-wildfire,starter
