headline,source,publish_date,year,url,source_split
'Top Gun: Maverick' star Glen Powell addresses affair rumors with co-star Sydney Sweeney,FoxNews,2023-11-16,2023,https://www.foxnews.com/entertainment/top-gun-maverick-star-glen-powell-affair-rumors-co-star-sydney-sweeney,starter
DOJ charges Indian man in alleged assassination plot to kill Sikh activist in the U.S.,NBC,2023-11-29,2023,https://www.nbcnews.com/news/us-news/indian-man-charged-alleged-plot-kill-sikh-activist-nyc-rcna127212,starter
Texas Supreme Court rules against woman who sought abortion hours after she says she’ll travel out of state,NBC,2023-12-11,2023,https://www.nbcnews.com/news/us-news/texas-woman-sought-abortion-court-order-leave-state-rcna129087,starter
DeSantis debate memo urges him to defend Trump and attack Ramaswamy,NBC,2023-08-17,2023,https://www.nbcnews.com/politics/2024-election/desantis-debate-memo-urges-defend-trump-attack-ramaswamy-rcna100414,starter
"Indiana man, 50, arrested on murder charges in 2017 killings of 2 teenage girls",NBC,2022-10-31,2022,https://www.nbcnews.com/news/us-news/indiana-police-make-announcement-unsolved-2017-delphi-murders-2-teenag-rcna54767,starter
Ron DeSantis fires roughly a dozen staffers in campaign shake-up,NBC,2023-07-16,2023,https://www.nbcnews.com/politics/2024-election/ron-desantis-fires-roughly-dozen-staffers-campaign-shake-rcna94470,starter
Misinformation about Israel and Hamas is spreading on social media,NBC,2023-10-07,2023,https://www.nbcnews.com/news/world/misinformation-israel-hamas-spreading-social-media-rcna119345,starter
"Ex-Indian government agent plotted assassination on U.S. soil, DOJ says",NBC,2024-10-18,2024,https://www.nbcnews.com/news/world/india-government-agent-assassination-plot-sikh-nationalist-canada-rcna176048,starter
"The Doors' Jim Morrison had ‘a fascination with death’ before passing away at 27, bandmate Robby Krieger says",FoxNews,2021-10-12,2021,https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger,starter
The Best Wide Toe Box Shoes of 2026 | NBC Select,NBC,2024-02-29,2024,https://www.nbcnews.com/select/shopping/best-wide-toe-box-shoes-rcna141116,starter
"Georgia school shooting investigators zero in on 14-year-old suspect’s internet history, past: expert",FoxNews,2024-09-05,2024,https://www.foxnews.com/us/georgia-school-shooting-investigators-zero-14-year-old-suspects-internet-history-past-expert,starter
"Picky eater in your family? Try using a different color of dishware, study suggests",FoxNews,2022-11-30,2022,https://www.foxnews.com/lifestyle/picky-eater-family-try-color-dishware-study,starter
"Perp walk: New Yorkers shout at suspect in fatal shooting of NYPD police officer, who now faces charges",FoxNews,2024-03-27,2024,https://www.foxnews.com/us/perp-walk-new-yorkers-shout-suspect-fatal-shooting-nypd-police-officer-now-faces-charges,starter
Judge blocks Texas AG from requiring info on transgender kids receiving gender transition treatment,FoxNews,2024-03-03,2024,https://www.foxnews.com/politics/judge-blocks-texas-ag-requiring-info-transgender-kids-receiving-gender-transition-treatment,starter
Biden vowed 'consequences' for Saudi Arabia after oil production cut. But the U.S. has no plans to follow through.,NBC,2022-12-03,2022,https://www.nbcnews.com/politics/biden-vowed-consequences-saudi-arabia-oil-production-cut-us-no-plans-f-rcna59799,starter
Who invented butter chicken? A court in India will decide,NBC,2024-06-02,2024,https://www.nbcnews.com/news/world/invented-butter-chicken-court-india-will-decide-rcna153870,starter
Three Harris DNC attack lines against Trump that were inaccurate or false,FoxNews,2024-08-23,2024,https://www.foxnews.com/politics/3-harris-dnc-attack-lines-against-trump-were-inaccurate-false,starter
Kamala Harris reassures Democratic Party donors that there's nothing to worry about,FoxNews,2024-07-20,2024,https://www.foxnews.com/politics/kamala-harris-reassures-democratic-party-donors-theres-nothing-worry-about,starter
MSNBC yanks anti-Trump 'Morning Joe' off air following assassination attempt,FoxNews,2024-07-15,2024,https://www.foxnews.com/media/msnbc-yanks-anti-trump-morning-joe-off-air-following-assassination-attempt.print,starter
"How US government will dole out aid to victims of Hurricanes Milton, Helene",FoxNews,2024-10-09,2024,https://www.foxnews.com/politics/how-us-government-dole-out-aid-victims-hurricanes-milton-helene,starter
Misleading GOP videos of Biden are going viral. The fact-checks have trouble keeping up.,NBC,2024-06-18,2024,https://www.nbcnews.com/politics/2024-election/misleading-gop-videos-biden-viral-fact-checks-rcna133316,starter
RFK Jr.'s running mate outlines 'two options': Drop out and back Trump or 'risk' Harris win,NBC,2024-08-20,2024,https://www.nbcnews.com/politics/2024-election/rfk-jr-running-mate-outlines-two-options-drop-back-trump-risk-harris-w-rcna167395,starter
WaPo reporter suggests White House censor 'misinformation' from Trump-Musk interview at press briefing,FoxNews,2024-08-13,2024,https://www.foxnews.com/media/wapo-reporter-suggests-white-house-censor-misinformation-trump-musk-interview-press-briefing,starter
The Best Retinol and Retinoid Products for Acne | NBC Select,NBC,2020-10-23,2020,https://www.nbcnews.com/select/shopping/best-retinol-creams-serums-acne-wrinkles-ncna1244298,starter
Ex-NWSL coach slams league as 'woke' after being banned for life,FoxNews,2023-01-10,2023,https://www.foxnews.com/sports/ex-nwsl-coach-slams-league-woke-banned-life,starter
"Second officer from Capitol riot dies by suicide, police chief says",NBC,2021-01-28,2021,https://www.nbcnews.com/news/us-news/second-officer-capitol-riot-dies-suicide-police-chief-says-n1256003,starter
"In Alzheimer’s breakthrough, researchers identify ‘protective gene’ that delays disease in high-risk family",FoxNews,2024-06-20,2024,https://www.foxnews.com/health/alzheimers-breakthrough-researchers-identify-gene-delays-disease-high-risk-family,starter
Gaza medical crisis: WhatsApp group exposes deaths and destruction of doctors amid conflict,NBC,2024-07-23,2024,https://www.nbcnews.com/news/world/israel-hamas-war-investigation-doctors-hospitals-targeted-gaza-rcna162684,starter
Vance vs. Walz: Think VP debates don't matter? Just look at these 6 examples,FoxNews,2024-09-30,2024,https://www.foxnews.com/opinion/vance-vs-walz-think-vp-debates-dont-matter-just-look-6-examples,starter
What to expect from Trump’s trials and court cases in 2024,NBC,2023-12-28,2023,https://www.nbcnews.com/politics/donald-trump/trump-trials-court-cases-2024-what-expect-rcna130465,starter
Media critics pan Walz's 'unsteady' debate performance: 'Clear lack of preparation and execution',FoxNews,2024-10-02,2024,https://www.foxnews.com/media/media-critics-pan-walzs-debate-performance-clear-lack-preparation-execution,starter
How Taylor Swift transcends America's political divides — barely,NBC,2023-11-20,2023,https://www.nbcnews.com/politics/taylor-swift-transcends-americas-political-divides-barely-rcna125908,starter
Ask a doctor: 'How can I prevent high cholesterol?',FoxNews,2023-08-29,2023,https://www.foxnews.com/health/ask-doc-prevent-high-cholesterol,starter
"Iran enriching uranium to near weapons-grade levels, nuclear watchdog warns",NBC,2023-03-08,2023,https://www.nbcnews.com/news/world/iran-enriching-uranium-weapons-grade-nuclear-iaea-rcna72753,starter
Pennsylvania sheriff defends local officers who confronted Trump rally shooter,FoxNews,2024-07-17,2024,https://www.foxnews.com/us/pennsylvania-sheriff-defends-local-officers-who-confronted-trump-rally-shooter,starter
OB-GYNs decry the 'fearmongering' about Georgia's abortion laws: 'The lies are hurting women',FoxNews,2024-09-27,2024,https://www.foxnews.com/media/ob-gyns-decry-fearmongering-about-georgias-abortion-laws-the-lies-hurting-women.print,starter
Israel's Netanyahu faces growing pressure over Gaza plan from his own war Cabinet,NBC,2024-05-19,2024,https://www.nbcnews.com/news/world/israels-netanyahu-faces-growing-pressure-gaza-plan-war-cabinet-rcna152953,starter
Obama calls out ‘brothers’ apprehensive to vote for Harris: ‘You’re thinking of sitting out?’,FoxNews,2024-10-10,2024,https://www.foxnews.com/politics/obama-calls-out-brothers-apprehensive-vote-harris-youre-thinking-sitting-out.print,starter
"2024 Olympics: Simone Biles takes gold in vault, Sha'Carri Richardson gets silver in 100-meter",NBC,2024-08-03,2024,https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162868,starter
Putin praises Kim Jong Un's support for Ukraine war as he heads to North Korea,NBC,2024-06-18,2024,https://www.nbcnews.com/news/world/putin-heads-north-korea-praises-kims-support-ukraine-war-rcna157469,starter
Hatch Restore 2 review: A sunrise alarm clock for better sleep,NBC,2024-03-12,2024,https://www.nbcnews.com/select/shopping/hatch-restore-2-review-rcna143055,starter
"'Lies throughout': Trump-backed challenger, longtime Dem senator face off in heated battleground debate",FoxNews,2024-10-04,2024,https://www.foxnews.com/politics/lies-throughout-trump-backed-challenger-longtime-dem-senator-face-off-heated-battleground-debate,starter
Biden speaks to Netanyahu amid cease-fire talks and evacuation of Rafah,NBC,2024-05-06,2024,https://www.nbcnews.com/politics/white-house/biden-speaks-netanyahu-cease-fire-talks-evacuation-rafah-rcna150863,starter
Rachel Maddow defends MSNBC's refusal to air Trump's Iowa victory speech: ‘Not out of spite’,FoxNews,2024-01-16,2024,https://www.foxnews.com/media/rachel-maddow-defends-msnbcs-refusal-air-trumps-iowa-victory-speech-not-spite,starter
"Biden has been secretly meeting with donors to ease concerns, including his age and energy: report",FoxNews,2024-01-11,2024,https://www.foxnews.com/politics/biden-has-been-secretly-meeting-with-donors-ease-concerns-including-his-age-energy,starter
Franklin Graham's Samaritan's Purse sponsors 21 ambulances in Israel to replace those destroyed by Hamas,FoxNews,2023-11-16,2023,https://www.foxnews.com/lifestyle/franklin-grahams-samaritans-purse-sponsors-21-ambulances-israel-replace-destroyed-hamas,starter
Michigan becomes a top GOP Senate target as Mike Rogers ties with Dem opponent among older voters,FoxNews,2024-09-02,2024,https://www.foxnews.com/politics/michigan-becomes-top-gop-senate-target-mike-rogers-ties-dem-opponent-among-older-voters,starter
"Riley Gaines visits RNC with message for New York AG Letitia James, Democrats claiming to be party for women",FoxNews,2024-07-17,2024,https://www.foxnews.com/politics/riley-gaines-visits-rnc-message-new-york-ag-letitia-james-democrats-claiming-party-women.print,starter
Jan. 6 rioter who assaulted police says she was 'duped' by Trump's election lies,NBC,2024-10-18,2024,https://www.nbcnews.com/politics/donald-trump/jan-6-rioter-assaulted-police-says-was-duped-trumps-election-lies-rcna176025,starter
Scott says US must stand ‘shoulder-to-shoulder’ with Israel after Hamas terror attack: ‘Never back down’,FoxNews,2023-10-08,2023,https://www.foxnews.com/politics/scott-says-us-must-stand-shoulder-shoulder-israel-hamas-terror-attack,starter
FBI investigating Trump rally shooter,FoxNews,2026-01-14,2026,https://www.foxnews.com/live-news/trump-assassination-shooting-rnc-secret-service-investigation-july15,starter
"Joe Biden lands 200 judges, highlighting stakes for the courts in the 2024 election",NBC,2024-05-22,2024,https://www.nbcnews.com/politics/2024-election/joe-biden-nears-200-judges-highlighting-stakes-courts-2024-election-rcna152485,starter
"Israel, Arab states sign Trump-brokered deals in White House ceremony",NBC,2020-09-15,2020,https://www.nbcnews.com/news/world/israel-arab-states-set-sign-trump-brokered-deals-white-house-n1240105,starter
"'Distrust and chaos': Georgia Dems, GOP battle over new ballot rule as early voting kicks off Tuesday",FoxNews,2024-10-14,2024,https://www.foxnews.com/politics/distrust-chaos-georgia-dems-gop-battle-over-new-ballot-rule-early-voting-kicks-off,starter
Biden administration advances potential $1 billion weapons sale to Israel,NBC,2024-05-15,2024,https://www.nbcnews.com/politics/white-house/biden-administration-advances-potential-1-billion-weapons-sale-israel-rcna152476,starter
"Reporter on MSNBC says migrants 'not angry at DeSantis,' but are thanking him for Martha's Vineyard flight",FoxNews,2022-09-16,2022,https://www.foxnews.com/media/reporter-msnbc-immigrants-not-angry-desantis-thanking-marthas-vineyard-flight,starter
"Winter weather forecast: Wet for Northwest and Great Lakes, NOAA says",NBC,2024-10-17,2024,https://www.nbcnews.com/weather/winter-weather/winter-weather-forecast-noaa-rcna175995,starter
Lauren Boebert won't 'further imperil' slim GOP majority by running in special election for Ken Buck's seat,FoxNews,2024-03-14,2024,https://www.foxnews.com/politics/lauren-boebert-wont-further-imperil-slim-gop-majority-running-special-election-ken-bucks-seat,starter
"Trump-Harris presidential debate: Philadelphia under Biden saw cops, kids shot, alleged savage offenders freed",FoxNews,2024-09-10,2024,https://www.foxnews.com/us/trump-harris-presidential-debate-philadelphia-under-biden-saw-cops-kids-shot-alleged-savage-offenders-freed,starter
Same poll taken one month apart shows which presidential candidate has momentum in key states,FoxNews,2024-10-09,2024,https://www.foxnews.com/politics/same-poll-taken-one-month-apart-shows-which-presidential-candidate-has-momentum-key-states,starter
"Delphi murders trial: Richard Allen used power and fear to kill teen victims, prosecutors say",NBC,2024-10-18,2024,https://www.nbcnews.com/news/us-news/delphi-murders-trial-richard-allen-used-power-fear-kill-teen-victims-p-rcna176090,starter
"Riley Gaines, NCAA athletes to testify in Georgia about competing against, sharing locker room with Lia Thomas",FoxNews,2024-08-23,2024,https://www.foxnews.com/politics/riley-gaines-ncaa-athletes-testify-georgia-about-competing-against-sharing-locker-room-lia-thomas,starter
Israel’s outgoing army chief rebukes Netanyahu's far-right government,NBC,2023-01-13,2023,https://www.nbcnews.com/news/world/israel-benjamin-netanyahu-government-rebuke-ex-army-chief-rcna65667,starter
Harris’ critics sound off after VP is endorsed by IRS-affiliated union: ‘Get ready to be taxed to death',FoxNews,2024-09-21,2024,https://www.foxnews.com/media/harris-critics-sound-off-vp-endorsed-irs-affiliated-union-get-ready-taxed-death.print,starter
New York City man 'lived' the Constitution for a year. Here are 7 things he learned,FoxNews,2024-06-19,2024,https://www.foxnews.com/lifestyle/new-york-city-man-lived-constitution-year-here-7-things-he-learned.print,starter
Softened abortion language in Trump-approved GOP platform irks some social conservatives,FoxNews,2024-07-09,2024,https://www.foxnews.com/politics/softened-abortion-language-trump-approved-gop-platform-irks-some-social-conservatives,starter
"Superintendent fired, CRT banned after Moms for Liberty candidates revamp South Carolina school district",FoxNews,2022-11-21,2022,https://www.foxnews.com/media/superintendent-fired-crt-banned-moms-liberty-candidates-revamp-south-carolina-school-district,starter
Michelle Obama: The office Trump seeks 'might just be one of those Black jobs',NBC,2024-08-21,2024,https://www.nbcnews.com/politics/2024-election/michelle-obama-office-trump-seeks-might-just-one-black-jobs-rcna167426,starter
Supreme Court agrees to review whether Trump immune from prosecution in federal election interference case,FoxNews,2024-02-28,2024,https://www.foxnews.com/politics/supreme-court-trump-special-counsel-jan-6,starter
"Border Patrol apprehends 58K migrants in August, down from record 250K in December",FoxNews,2024-09-17,2024,https://www.foxnews.com/us/border-patrol-apprehends-58k-migrants-august-down-from-record-250k-december,starter
Federal judge imposes longest sentence yet for Jan. 6 defendant,NBC,2023-05-05,2023,https://www.nbcnews.com/politics/justice-department/federal-judge-imposes-longest-sentence-yet-jan-6-defendant-rcna82982,starter
Bruce Willis holds family tight during Thanksgiving while battling dementia,FoxNews,2023-11-24,2023,https://www.foxnews.com/entertainment/bruce-willis-holds-family-tight-thanksgiving-battling-dementia,starter
Haitian migration roils town in key battleground state with signs of pro-Trump support on the rise,FoxNews,2024-10-18,2024,https://www.foxnews.com/politics/haitian-migration-roils-town-battleground-state-signs-pro-trump-support-rise.print,starter
"The best eco-friendly cleaning products, according to the EPA",NBC,2021-05-07,2021,https://www.nbcnews.com/select/shopping/eco-friendly-cleaning-products-ncna1266586,starter
"Kamala Harris supported ‘Defund the police’ in 2020 radio interview, before Biden campaign said otherwise",FoxNews,2024-07-26,2024,https://www.foxnews.com/politics/kamala-harris-supported-defund-police-2020-radio-interview-before-biden-campaign-said-otherwise,starter
Elon Musk announces $1M giveaway for voters who sign petition in battleground states,NBC,2024-10-18,2024,https://www.nbcnews.com/tech/tech-news/elon-musk-raises-payment-offer-100-voters-sign-petition-rcna176075,starter
2 Russian intel officers charged with hacking into U.S. and British government agencies,NBC,2023-12-07,2023,https://www.nbcnews.com/politics/justice-department/2-russian-intel-officers-charged-hacking-us-british-government-agencie-rcna128569,starter
"McConnell privately called Trump a 'despicable human' and unfit for office, new book says",NBC,2024-10-17,2024,https://www.nbcnews.com/politics/congress/mcconnell-privately-called-trump-despicable-human-unfit-office-new-boo-rcna175960,starter
Supreme Court overturns Roe v. Wade in landmark abortion decision,FoxNews,2022-06-24,2022,https://www.foxnews.com/politics/supreme-court-overturns-roe-v-wade-dobbs-v-jackson-womens-health-organization,starter
Garmin Forerunner 165 Review 2026 | NBC Select,NBC,2024-04-29,2024,https://www.nbcnews.com/select/shopping/garmin-forerunner-165-review-rcna149853,starter
In Rafah desperation grows as Israel ground assault looms,NBC,2024-02-14,2024,https://www.nbcnews.com/news/world/israel-hamas-war-rafah-gaza-ground-assault-palestinians-desperation-rcna138795,starter
Biden admin under fire for burning taxpayer funds on UN climate summit trip,FoxNews,2023-12-04,2023,https://www.foxnews.com/politics/biden-admin-under-fire-burning-taxpayer-funds-un-climate-summit-trip,starter
Democrats worry about Harris' cautious media approach in tight 2024 race: 'Voters deserve better',FoxNews,2024-10-04,2024,https://www.foxnews.com/media/democrats-worry-harris-cautious-media-approach-tight-2024-race-voters-deserve-better,starter
Eating starch: How humans gained the ability to digest certain carbs,NBC,2024-10-17,2024,https://www.nbcnews.com/health/health-news/how-humans-gained-ability-digest-starch-study-rcna175350,starter
Rep. Ritchie Torres calls out NY Times 'bias' for not interviewing him for story about his anti-Israel critics,FoxNews,2024-06-24,2024,https://www.foxnews.com/media/rep-ritchie-torres-calls-out-ny-times-bias-not-interviewing-him-story-anti-israel-critics,starter
What to expect at the 2024 Emmys: 'Shogun' and 'The Bear' set to conquer the awards show,NBC,2024-09-14,2024,https://www.nbcnews.com/pop-culture/awards/emmys-2024-how-watch-what-expect-awards-rcna170600,starter
'America's Got Talent' judge Simon Cowell makes show history with shocking move,FoxNews,2024-06-05,2024,https://www.foxnews.com/entertainment/americas-got-talent-judge-simon-cowell-makes-show-history-shocking-move,starter
Katy Perry exits ‘American Idol’: ‘This is my last season’,FoxNews,2024-02-13,2024,https://www.foxnews.com/entertainment/katy-perry-exits-american-idol,starter
Massachusetts' Smith College racism accusations back in spotlight after report details 2018 investigation,FoxNews,2021-02-25,2021,https://www.foxnews.com/us/smith-college-racism-oumou-kanoute-eating-while-black,starter
Brazil's Christ the Redeemer statue welcomes Taylor Swift with unique display,NBC,2023-11-16,2023,https://www.nbcnews.com/news/latino/taylor-swift-welcomed-brazil-christ-redeemer-statue-projection-rcna125542,starter
"New York veteran, 105, shares her secret to a fulfilling life: Faith, family and 'no regrets'",FoxNews,2023-09-25,2023,https://www.foxnews.com/lifestyle/new-york-veteran-105-shares-secret-fulfilling-life-faith-family-no-regrets,starter
Female athlete injured by transgender player slams Dem lawmakers who dismissed dangers,FoxNews,2024-03-22,2024,https://www.foxnews.com/politics/female-athlete-injured-transgender-player-slams-dem-lawmakers-who-dismissed-dangers.print,starter
"Rubio contests claim that US embargo is destabilizing Cuba, says only 'blockade' is its government",FoxNews,2021-07-21,2021,https://www.foxnews.com/politics/rubio-contests-claim-us-embargo-destabilizing-cuba-blockade-government,starter
"92 people still missing in North Carolina after Hurricane Helene, governor says",NBC,2024-10-15,2024,https://www.nbcnews.com/weather/hurricanes/92-people-still-missing-north-carolina-hurricane-helene-governor-says-rcna175503,starter
North Korea's Kim Jong Un wants to speed up becoming a nuclear superpower,NBC,2024-10-08,2024,https://www.nbcnews.com/news/world/north-korea-kim-jong-un-nuclear-superpower-russia-ukraine-rcna174436,starter
Biden administration lifts Trump-era restrictions stalling Puerto Rico hurricane aid,NBC,2021-04-20,2021,https://www.nbcnews.com/news/latino/biden-administration-lifts-trump-era-restrictions-stalling-puerto-rico-hurricane-n1264672,starter
Ozzy Osbourne admits taking antidepressants had an effect in the bedroom,FoxNews,2023-11-22,2023,https://www.foxnews.com/entertainment/ozzy-osbourne-admits-taking-antidepressants-effect-bedroom,starter
"Harris campaign won't give details on type of gun she owns, last time she went to range",FoxNews,2024-09-25,2024,https://www.foxnews.com/politics/harris-campaign-wont-give-details-type-gun-she-owns-last-time-she-went-range,starter
The U.S. could see a new 'extreme heat belt' by 2053,NBC,2022-08-15,2022,https://www.nbcnews.com/science/environment/us-see-new-extreme-heat-belt-2053-rcna42486,starter
Becerra: Federal gov 'looking into' helping women cross state lines for abortions,FoxNews,2022-07-03,2022,https://www.foxnews.com/politics/becerra-federal-gov-looking-helping-women-cross-state-lines-abortions,starter
Putin threatens to provide weapons to attack West over Ukraine strikes inside Russia,NBC,2024-06-06,2024,https://www.nbcnews.com/news/world/putin-threatens-weapons-attack-west-ukraine-strikes-inside-russia-rcna155795,starter
Jewish settlers storm town and pepper spray Israeli soldiers in West Bank,NBC,2022-10-20,2022,https://www.nbcnews.com/news/world/israel-palestinians-jewish-settlers-storrm-town-pepper-spray-soldiers-rcna53240,starter
Ron DeSantis is running the Iowa playbook — and hoping that’s what still counts,NBC,2023-12-02,2023,https://www.nbcnews.com/politics/2024-election/ron-desantis-running-iowa-playbook-hoping-s-still-counts-rcna127175,starter
The serious crisis gripping America that no one wants to talk about,FoxNews,2024-10-01,2024,https://www.foxnews.com/opinion/serious-crisis-gripping-america-no-one-wants-talk-about,starter
Matt Gaetz defeats Kevin McCarthy-backed GOP challenger Aaron Dimmock in Florida House primary,NBC,2024-08-21,2024,https://www.nbcnews.com/politics/2024-election/matt-gaetz-florida-primary-house-aaron-dimmock-rcna167141,starter
'Airport tray aesthetic' goes viral as some travelers halt security checkpoints for photo ops,FoxNews,2024-09-05,2024,https://www.foxnews.com/travel/airport-tray-aesthetic-goes-viral-some-travelers-halt-security-checkpoints-photo-ops,starter
"Select Giftable Tech Awards 2023 favorites: portable chargers, earbuds and more",NBC,2023-12-13,2023,https://www.nbcnews.com/select/shopping/giftable-tech-awards-2023-bestsellers-rcna129150,starter
American soldiers killed in WWI remembered forever in NYC ale house,FoxNews,2022-05-29,2022,https://www.foxnews.com/lifestyle/americans-killed-wwi-nyc-ale-house.print,starter
"Sen Cotton says Biden-Harris likely prolonged Gaza war, let aid go to terrorists: 'Betrayed' taxpayers",FoxNews,2024-10-16,2024,https://www.foxnews.com/world/sen-cotton-says-biden-harris-likely-prolonged-gaza-war-let-aid-go-terrorists-betrayed-taxpayers.print,starter
Sotomayor and Jackson issue scathing dissents of Trump immunity ruling,NBC,2024-07-01,2024,https://www.nbcnews.com/politics/supreme-court/liberal-justices-say-trump-immunity-decision-will-disastrous-consequen-rcna159755,starter
Putin tells Hungary's Orbán he is ready to discuss 'nuances' of Ukraine conflict,NBC,2024-07-05,2024,https://www.nbcnews.com/news/world/russia-ukraine-war-putin-orban-moscow-peace-zelenskyy-rcna160398,starter
Vance says Trump didn't lose the 2020 election: 'Not by the words I would use',NBC,2024-10-16,2024,https://www.nbcnews.com/politics/2024-election/vance-says-trump-not-lose-2020-election-not-words-use-rcna175787,starter
Biden admin faces bipartisan backlash for allowing beef imports from Paraguay: ‘Cutting corners’,FoxNews,2024-02-27,2024,https://www.foxnews.com/politics/biden-admin-faces-bipartisan-opposition-actions-allowing-potentially-diseased-beef-imports.print,starter
Amazon's Cyber Monday sales continue: 40+ deals you can still shop,NBC,2022-11-29,2022,https://www.nbcnews.com/select/shopping/cyber-monday-2022-amazon-deals-ncna1301378,starter
Harris unveils agenda to help Black men 'get ahead' as polls show Trump gains,FoxNews,2024-10-14,2024,https://www.foxnews.com/politics/harris-unveils-agenda-help-black-men-get-ahead-polls-suggest-trump-making-gains.print,starter
"Black farmers sue Biden administration over broken debt relief promise, say president reneged on meeting",FoxNews,2022-10-17,2022,https://www.foxnews.com/media/black-farmers-sue-biden-administration-broken-debt-relief-promise-president-reneged-meeting,starter
Senate Republican leader Mitch McConnell endorses Trump for president,NBC,2024-03-06,2024,https://www.nbcnews.com/politics/2024-election/mitch-mcconnell-endorses-donald-trump-president-rcna142049,starter
Israel and activists accuse U.N. of slow response to accounts of Hamas militants raping women,NBC,2023-12-04,2023,https://www.nbcnews.com/news/world/israel-activists-accuse-un-slow-response-accounts-hamas-rapes-rcna127995,starter
